20171209;209066112;riding;35.3
20171205;209064964;riding;123.3
20171205;209065894;swimming;2516
20180115;209064254;running;3.7
20180115;209065421;running;16.9
20180110;209064582;swimming;2344
20171209;209066621;swimming;1195
20180120;209067311;swimming;993
20180119;209065999;running;2.6
20180107;209064425;swimming;2386
20171204;209066979;riding;78.2
20171218;209065309;running;19.6
20180115;209066567;running;19.8
20171213;209066720;running;27.1
20171226;209065309;running;17.6
20180114;209066321;swimming;1987
20171216;209066729;swimming;935
20180104;209066112;running;21.4
20171218;209067052;swimming;1638
20180106;209065999;swimming;2533
20171205;209065421;swimming;622
20171225;209064159;riding;149.7
20171212;209065853;riding;81.6
20171231;209064265;running;26.8
20180113;209066979;running;3.7
20171218;209065421;running;13.1
20171216;209064561;swimming;2178
20180107;209067186;riding;81.6
20171217;209064854;running;8.2
20171219;209066419;swimming;462
20180107;209065734;running;20.1
20171215;209066528;running;10.7
20171220;209064358;swimming;1830
20180104;209067382;running;24.9
20180122;209064265;swimming;2019
20171218;209066538;swimming;864
20180106;209065631;riding;104.6
20180120;209064413;running;2.6
20171224;209065734;swimming;1929
20171213;209066633;running;3.8
20171225;209065053;swimming;771
20171214;209065344;running;5.1
20171211;209064939;riding;18.0
20171209;209066538;running;7.4
20171228;209067307;riding;128.3
20171217;209067666;running;26.3
20171219;209066567;running;15.8
20171217;209067435;riding;21.8
20171210;209064436;running;22.9
20171213;209067057;running;10.1
20180115;209066112;running;11.6
20180106;209065971;running;16.9
20171215;209064854;running;9.2
20180104;209064261;running;3.3
20171227;209064217;running;6.2
20180122;209066451;running;20.2
20180101;209064413;running;2.9
20171210;209067805;running;16.9
20171207;209065752;running;22.1
20171218;209066440;running;14.7
20180112;209067307;running;8.0
20180102;209067391;running;9.3
20171231;209066619;swimming;1840
20180122;209066419;running;16.7
20171219;209066567;swimming;685
20180116;209066371;running;9.8
20180116;209067026;swimming;282
20180107;209066729;riding;31.6
20180110;209066369;swimming;439
20180101;209064939;riding;40.7
20180106;209066163;riding;134.2
20180118;209064023;swimming;1301
20180117;209066720;swimming;2033
20180112;209065894;riding;111.6
20180111;209065734;swimming;2207
20171223;209065309;running;27.4
20171208;209064358;running;24.3
20180116;209066112;running;24.2
20180113;209066461;running;5.2
20180110;209064759;running;17.3
20180115;209067825;riding;83.9
20171231;209065971;swimming;2111
20171214;209065876;running;11.9
20180116;209065126;treadmill;8.8
20171229;209066440;swimming;1012
20180101;209065133;running;18.5
20180105;209064425;swimming;1016
20180120;209064023;swimming;2070
20171208;209066196;riding;78.5
20180110;209065752;swimming;1589
20171230;209067026;swimming;311
20171208;209067052;swimming;2192
20180104;209066941;riding;17.5
20180107;209065999;running;16.2
20171213;209065307;running;18.4
20171223;209066789;running;15.1
20180113;209067057;swimming;917
20180109;209065894;running;9.8
20171205;209067205;running;19.1
20171218;209065752;running;9.9
20171228;209066941;running;15.9
20171214;209064759;running;4.6
20171228;209067026;running;23.5
20171229;209064358;swimming;1708
20180101;209066621;riding;115.8
20180103;209065734;swimming;2073
20171228;209065876;swimming;1966
20180121;209064854;running;25.7
20171211;209064413;running;26.4
20171228;209064145;swimming;1225
20171222;209066295;running;14.0
20171219;209066720;running;20.3
20171213;209064861;swimming;707
20180120;209067382;running;25.2
20180114;209064964;running;4.0
20180122;209064920;running;9.0
20180103;209066941;running;16.6
20171227;209066933;running;7.4
20171224;209066729;swimming;2454
20171214;209066941;treadmill;7.6
20171222;209064582;swimming;1690
20171220;209064425;running;13.9
20171209;209067309;swimming;1000
20171205;209066789;swimming;1582
20171218;209067957;running;16.5
20171213;209064077;swimming;2151
20171229;209067374;running;12.0
20171214;209064261;swimming;2356
20171230;209067874;running;19.4
20180106;209064759;running;25.0
20180115;209065734;riding;19.6
20171211;209066528;running;12.0
20180104;209064145;swimming;1186
20171212;209064939;swimming;2048
20180115;209067805;riding;44.6
20180101;209065268;running;20.7
20171218;209065307;running;11.0
