20180118;209064939;running;16.2
20171227;209066196;running;9.7
20171230;209067307;riding;68.8
20180122;209064939;running;18.1
20171206;209066538;running;8.6
20171211;209066941;running;13.5
20171221;209065663;riding;90.2
20171227;209065309;running;10.7
20180113;209067374;riding;80.6
20180106;209066633;running;19.7
20171206;209065631;swimming;246
20171222;209066419;running;11.5
20171228;209064077;swimming;1087
20171218;209065894;running;14.8
20171230;209065706;swimming;2519
20171210;209064023;swimming;463
20171208;209065971;swimming;707
20171206;209065421;swimming;163
20171231;209067374;swimming;1471
20171216;209064265;riding;15.5
20171224;209064077;running;11.5
20171212;209066550;running;25.1
20180121;209067382;running;22.4
20180113;209067113;swimming;1736
20180117;209064425;running;13.5
20171224;209067874;running;11.6
20180114;209066369;swimming;122
20180119;209064425;swimming;2284
20171219;209067309;riding;37.1
20171215;209067256;swimming;2425
20171206;209065631;riding;38.8
20171207;209066528;swimming;1506
20171229;209066567;running;12.1
20171231;209066451;swimming;2098
20171211;209066062;swimming;1041
20171221;209064436;riding;117.4
20171213;209064805;swimming;1875
20180113;209065421;swimming;621
20180122;209067274;running;7.0
20180108;209066196;running;21.2
20171214;209067057;riding;119.4
20171225;209065999;running;6.4
20171215;209064425;riding;63.4
20180115;209065999;riding;137.2
20180110;209066619;running;5.7
20180112;209066621;riding;35.2
20171226;209064023;riding;89.7
20180108;209065853;running;26.8
20180113;209066451;running;5.5
20171227;209067057;running;5.2
20171204;209066451;riding;76.8
20171212;209065734;running;21.7
20171208;209065631;swimming;2212
20180122;209065133;running;24.5
20180104;209067311;swimming;2372
20171223;209065344;running;10.4
20171207;209066789;swimming;752
20180104;209065663;swimming;622
20180104;209064358;running;19.0
20180108;209066979;running;3.7
